x,uncorrected-gnd-roll-1,uncorrected-gnd-roll-2,uncorrected-gnd-roll-3,uncorrected-gnd-roll-4,uncorrected-gnd-roll-5,uncorrected-gnd-roll-6,uncorrected-gnd-roll-7,uncorrected-gnd-roll-8,uncorrected-gnd-roll-9,uncorrected-gnd-roll-10,uncorrected-gnd-roll-11,uncorrected-gnd-roll-12,uncorrected-gnd-roll-13,uncorrected-gnd-roll-14,uncorrected-gnd-roll-15,uncorrected-gnd-roll-16
3.4146,984.527,921.745,833.261,737.252,629.511,526.779,403.28,250.418,110.455,-126.496,-50.209,-312.718,-112.798,-458.934,1334835.356,-557.605
3.5976,983.665,920.652,829.727,731.923,621.349,513.73,384.351,227.528,70.913,-214.9,-53.814,-369.839,-121.786,-499.265,1623101.86,-595.618
3.8415,982.516,919.186,824.994,725.075,610.995,497.538,361.409,197.505,14.4,-368.188,-57.759,-446.571,-133.422,-552.969,2068173.704,-646.366
3.9024,982.229,918.818,823.807,723.396,608.475,493.667,356,190.047,0.027,-412.933,-58.626,-465.837,-136.278,-566.384,2190887.393,-659.063
4.1463,981.08,917.343,819.049,716.768,598.576,478.753,335.269,160.299,-55.614,-616.286,-61.716,-543.171,-147.521,-620.005,2730240.785,-709.89
4.6951,978.494,914.003,808.296,702.143,576.879,447.562,290.462,93.649,-164.193,-1196.273,-67.032,-718.394,-171.956,-740.458,4252216.06,-824.453
4.939,977.345,912.513,803.506,695.67,567.454,434.331,255.582,64.082,-207.143,-1497.585,-68.866,-796.679,-182.513,-793.922,5079066.814,-875.448
5,977.058,912.141,802.308,694.048,565.11,431.055,243.06,56.692,-217.55,-1576.349,-69.285,-816.282,-185.128,-807.282,5301298.82,-888.203
5.061,976.771,911.768,801.11,692.422,562.768,427.788,232.244,49.302,-227.844,-1656.379,-69.688,-835.897,-187.734,-820.64,5529919.602,-900.961
5.2439,975.909,910.651,797.516,687.519,555.734,418.017,215.513,27.128,-258.137,-1903.579,-70.817,-894.807,-195.5,-860.701,6255019.842,-939.251
